chunk_id,laptop_id,field,text,citations
522_0,522,full_name_with_specs,"full_name_with_specs: ASUS ROG Zephyrus G14ProcessorAMD Ryzen 7 7735HSInternal memory48GB RAMVideo cardNVIDIA GeForce RTX 4050 (Laptop, 120W)Display14.0”, WQXGA (2560 x 1600), 165 Hz, IPSSolid-state drive1000GB SSD",['522:full_name_with_specs']
522_1,522,link_profile,link_profile: https://laptopmedia.com/laptop-specs/asus-rog-zephyrus-g14-925/,['522:link_profile']
522_2,522,full_name,full_name: ASUS ROG Zephyrus G14,['522:full_name']
522_3,522,producer,producer: ASUS,['522:producer']
522_4,522,model,model: ROGZephyrusG14,['522:model']
522_5,522,cpu,cpu: AMD Ryzen 7 7735HS,['522:cpu']
522_6,522,cpu_mark,cpu_mark: 24280,['522:cpu_mark']
522_7,522,gpu,"gpu: NVIDIA GeForce RTX 4050 (Laptop, 120W)",['522:gpu']
522_8,522,disc,disc: 1000GB SSD,['522:disc']
522_9,522,ram,ram: 48GB,['522:ram']
522_10,522,display_size,display_size: 14.0”,['522:display_size']
522_11,522,display_resolution,display_resolution: WQXGA (2560 x 1600),['522:display_resolution']
522_12,522,display_hz,display_hz: 165 Hz,['522:display_hz']
522_13,522,hdmi_version,hdmi_version: 2.1,['522:hdmi_version']
522_14,522,wifi_version,wifi_version: 802.11ax,['522:wifi_version']
522_15,522,bluetooth_version,bluetooth_version: 5.2,['522:bluetooth_version']
522_16,522,webcam_resolution,webcam_resolution: 1080p,['522:webcam_resolution']
522_17,522,microphone_count,microphone_count: 3x Microphones,['522:microphone_count']
522_18,522,publishing_date,publishing_date: 19.07.2023,['522:publishing_date']
522_19,522,dimensions,"dimensions: 312 x 227 x 18.5 - 20.5 mm (12.28"" x 8.94"" x 0.73"")",['522:dimensions']
522_20,522,fingerprint_reader,fingerprint_reader: Fingerprint reader,['522:fingerprint_reader']
522_21,522,service_rank,service_rank: 5.0,['522:service_rank']
522_22,522,service_level,service_level: 80/100,['522:service_level']
738_0,738,full_name_with_specs,"full_name_with_specs: Lenovo IdeaPad Gaming 3i 15ProcessorIntel Core i5-11300HInternal memory16GB RAMVideo cardNVIDIA GeForce GTX 1650 (Laptop)Display15.6”, Full HD (1920 x 1080), 120 Hz, IPSSolid-state drive1000GB SSD",['738:full_name_with_specs']
